scale,ReLC_nm,CR00_R,CR00_G,CR00_B,CR00_W,CR00_W_rel_to_ref_dB,CR_W_t30_p+45,CR_W_t30_p+45_rel_to_ref_dB,CR_W_t30_p+135,CR_W_t30_p+135_rel_to_ref_dB,CR_W_t30_p-45,CR_W_t30_p-45_rel_to_ref_dB,CR_W_t30_p-135,CR_W_t30_p-135_rel_to_ref_dB
0.9900000000000002,306.9000000000001,12806.190898879078,12335.624995886681,16168.72564736416,21352.2338847048,-0.003520598624552978,892.767584981521,-0.01737308089932754,731.0422321495295,0.01392708835273845,731.0422321495286,0.01392708835274037,892.7675849815204,-0.01737308089932899
1.0000000000000002,310.00000000000006,12706.800849489156,12318.582255944739,16421.12831430539,21369.550043643874,0.0,896.3460756381899,0.0,728.7016584648849,0.0,728.7016584648835,0.0,896.3460756381895,0.0
1.0100000000000002,313.1000000000001,12612.281828894402,12307.391189043235,16690.31142429729,21393.823192435353,0.004930245166813101,899.971853227017,0.017532056130968036,726.3796051915159,-0.013861160947650514,726.3796051915139,-0.013861160947654383,899.9718532270177,0.017532056130972834
1.0200000000000002,316.2000000000001,12522.527706713254,12302.034234037526,16976.904898178887,21424.97483893853,0.01124942794982062,903.6412516467166,0.03520327042801999,724.0784570033352,-0.02764131529593263,724.0784570033343,-0.027641315295929714,903.6412516467174,0.035203270428025735
1.0300000000000002,319.30000000000007,12437.438072386001,12302.50298791924,17281.572303215497,21462.928388328954,0.01893598762346743,907.350368939484,0.0529929874764751,721.8005823044991,-0.04132529858529106,721.8005823044971,-0.04132529858529495,907.3503689394834,0.052992987476474136
1.0400000000000003,322.4000000000001,12356.918077705997,12308.79818590102,17605.009901043344,21507.608770593146,0.027967501652740062,911.0950646618353,0.07087972696765438,719.5483301793839,-0.05489788267560609,719.5483301793817,-0.05489788267561195,911.0950646618362,0.07087972696766008
1.0500000000000003,325.50000000000006,12280.878286433928,12320.929703159394,17947.945173823435,21558.94205485923,0.038320674695577206,914.8709579880139,0.08884119999507992,717.3240274987809,-0.06834379729336959,717.3240274987795,-0.06834379729337008,914.8709579880139,0.08884119999508085
1.0600000000000003,328.6000000000001,12209.234531105098,12338.916578236995,18311.134709819522,21616.855050582897,0.04997132679386034,918.6734266282867,0.10685432833134591,715.1299761872335,-0.08164775149104525,715.1299761872317,-0.08164775149104819,918.6734266282873,0.10685432833134967
1.0700000000000003,331.7000000000001,12141.907777103354,12362.787058119555,18695.3613096027,21681.274895634,0.06289438093456344,922.4976066465764,0.12489526682150714,712.9684506551074,-0.09479445497171952,712.968450655106,-0.09479445497171952,922.4976066465763,0.12489526682150903
1.0800000000000003,334.80000000000007,12078.823994042374,12392.578665016217,19101.43015159977,21752.12863137527,0.07706385016893276,926.3383932633654,0.1429394290236752,710.8416953977388,-0.1077686392353128,710.8416953977376,-0.10776863923531232,926.338393263366,0.14293942902367895
