update_idx,best_CR,A_scale,ReC_nm,A_base_deg,A_kind,S0_POL_in,s1_POL_in,s2_POL_in,s3_POL_in,S0_el#0_LC,s1_el#0_LC,s2_el#0_LC,s3_el#0_LC,S0_el#1_A,s1_el#1_A,s2_el#1_A,s3_el#1_A,S0_el#2_C,s1_el#2_C,s2_el#2_C,s3_el#2_C,png
70,126.4075309825153,0.2,30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.993582983506442,0.0346146647193767,-0.1043954122735628,3.000000000000004,0.9992022566090376,0.0354257369289851,-0.0105897916404241,iso_LC_AC_abs_u070.png
75,137.58854271945185,0.25,35.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9902643246640732,0.0455232914776595,-0.1276584492944147,3.0000000000000027,0.9985535142913784,0.0467197329433317,-0.0182329290238445,iso_LC_AC_abs_u075.png
80,152.71101205023274,0.3,40.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9863085790287496,0.0585260599862915,-0.1496455138500802,3.0000000000000027,0.9975940061145908,0.0601549710777741,-0.0246214455019254,iso_LC_AC_abs_u080.png
85,168.63457890748367,0.35,40.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000027,0.9817582374875612,0.0734833002008662,-0.170143919186717,3.0000000000000027,0.9956519499524052,0.0754886848587715,-0.0452631045191719,iso_LC_AC_abs_u085.png
90,194.48904476254287,0.4,45.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.9766619723437014,0.0902350233987623,-0.1889579943453211,3.000000000000004,0.9938600395617369,0.0927173505832308,-0.0485657075315345,iso_LC_AC_abs_u090.png
95,230.07639182880183,0.45,50.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000027,0.9710740517309004,0.1086028470333387,-0.2059112509664297,3.000000000000004,0.9916190192824972,0.1115682576699403,-0.0500625965287895,iso_LC_AC_abs_u095.png
100,279.8502564811982,0.5,55.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000018,0.9650536886895602,0.1283921343589561,-0.2208483097090966,3.000000000000002,0.9888693718010853,0.1318296321227995,-0.0496138587816231,iso_LC_AC_abs_u100.png
105,350.5063188267835,0.55,60.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.958664333322905,0.1493943211553306,-0.2336365628045777,3.000000000000004,0.9855507993818255,0.1532750482594995,-0.047104422375555,iso_LC_AC_abs_u105.png
110,451.154881036132,0.6,65.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.0000000000000027,0.9519729171690864,0.1713893995208574,-0.2441675527604221,3.0000000000000027,0.981603756027834,0.1756662427187104,-0.0424452905716022,iso_LC_AC_abs_u110.png
115,589.9378100461201,0.65,70.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000004,0.9450490595195926,0.1941485267506667,-0.2523580509845382,3.000000000000004,0.9769709960954976,0.1987560614194549,-0.0355743946467472,iso_LC_AC_abs_u115.png
120,799.2078400436002,0.7,80.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.9379642458776668,0.217436725792118,-0.2581508240600108,3.000000000000004,0.9718717142914716,0.22233084729618,-0.0108103473391534,iso_LC_AC_abs_u120.png
124,909.7076398305524,0.75,85.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.0139169228922279,-0.0032946179912229,3.000000000000002,0.9307909890766848,0.2410156426980116,-0.2615150795158781,3.000000000000003,0.965519131311884,0.2460282182649985,0.0005106624800857,iso_LC_AC_abs_u124.png
