update_idx,best_CR,A_scale,ReC_nm,A_base_deg,A_kind,S0_POL_in,s1_POL_in,s2_POL_in,s3_POL_in,S0_el#0_LC,s1_el#0_LC,s2_el#0_LC,s3_el#0_LC,S0_el#1_A,s1_el#1_A,s2_el#1_A,s3_el#1_A,S0_el#2_C,s1_el#2_C,s2_el#2_C,s3_el#2_C
47,76.78832370491705,0.0,-45.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.9848646836813089,0.011749689133627604,-0.17092829896741735
48,81.61514521873924,0.0,-40.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9879454253762717,0.012194355895350254,-0.15246715785240866
49,86.4287975675302,0.0,-35.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.990675066070713,0.012588345592781939,-0.13394858443268765
50,91.1091319467691,0.0,-30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9930525439957059,0.012931504972778616,-0.11537950667088141
51,95.51325691374485,0.0,-25.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.995076933428643,0.01322370041879138,-0.09676687278810059
52,99.48147361607529,0.0,-20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000036,0.9967474450753812,0.013464818006023603,-0.07811764849552198
53,102.84756544204859,0.0,-15.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000002,0.9980634263964241,0.013654763548511674,-0.059438814218558844
54,105.45304320437035,0.0,-10.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.000000000000003,0.999024361877011,0.01379346263810947,-0.04073736231478941
55,107.16372496631443,0.0,-5.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,3.0000000000000027,0.9996298732409947,0.013880860675357772,-0.02202029428681527
56,107.88587165473055,0.0,0.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9998797196084066,0.013916922892228045,-0.0032946179912228986,,,,
57,108.88042394310213,0.05,5.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9993944548325975,0.015512016744799054,-0.02928132240205197,3.000000000000003,0.999747513449203,0.015562976366633301,-0.013652822297978977
58,109.19320923097288,0.05,10.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9993944548325975,0.015512016744799054,-0.02928132240205197,3.000000000000003,0.9998527486115343,0.015578165753958298,0.0019796501450964807
59,110.00490327119273,0.1,5.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000027,0.9981729807274232,0.019527073953494255,-0.054962779483140135,3.0000000000000036,0.9989377985163332,0.019637465892571326,-0.039341513697840176
60,111.59171472974312,0.1,10.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000027,0.9981729807274232,0.019527073953494255,-0.054962779483140135,3.0000000000000036,0.9994548589721433,0.019712097140908616,-0.023709428654035653
61,112.43598184040945,0.1,15.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000027,0.9981729807274232,0.019527073953494255,-0.054962779483140135,3.000000000000003,0.9997240140606521,0.019750946331609707,-0.008070601135923542
62,112.50292374495571,0.1,20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000027,0.9981729807274232,0.019527073953494255,-0.054962779483140135,3.0000000000000036,0.9997451825043409,0.019754001733275184,0.007570890060017299
63,113.96730155142271,0.15,10.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9962287587451156,0.025917845933268464,-0.08008372481413614,3.0000000000000027,0.9983154648739626,0.026219036019570846,-0.04885080745721165
64,116.19102067619235,0.15,15.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9962287587451156,0.025917845933268464,-0.08008372481413614,3.000000000000002,0.9989871830349268,0.026315990184833885,-0.033212170113243365
65,117.63880859919546,0.15,20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9962287587451156,0.025917845933268464,-0.08008372481413614,3.0000000000000027,0.9994108667354394,0.026377143659469453,-0.017564183829823256
66,118.24922506415949,0.15,25.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9962287587451156,0.025917845933268464,-0.08008372481413614,3.0000000000000027,0.9995863910598027,0.026402478413449563,-0.0019109299788859484
67,119.98442931585718,0.2,15.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9935829835064419,0.034614664719376714,-0.10439541227356283,3.0000000000000027,0.9975082817962648,0.03518123272544642,-0.057563694563468534
68,122.9832843287181,0.2,20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9935829835064419,0.034614664719376714,-0.10439541227356283,3.0000000000000036,0.998321195572383,0.03529856672231392,-0.04191608574631782
69,125.15631943143902,0.2,25.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9935829835064419,0.034614664719376714,-0.10439541227356283,3.0000000000000027,0.9988859086734362,0.03538007603754088,-0.02625675659462634
70,126.4075309825153,0.2,30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9935829835064419,0.034614664719376714,-0.10439541227356283,3.0000000000000036,0.9992022566090376,0.03542573692898513,-0.010589791640424189
71,126.67929597705054,0.2,35.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.000000000000002,0.9935829835064419,0.034614664719376714,-0.10439541227356283,3.0000000000000027,0.9992701417801456,0.03543553530943843,0.005080722266137013
72,128.46474017408826,0.25,20.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9902643246640731,0.045523291477659544,-0.12765844929441472,3.0000000000000027,0.9964887539236571,0.046421710454802714,-0.06524494511692108
73,132.4492859630861,0.25,25.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9902643246640731,0.045523291477659544,-0.12765844929441472,3.0000000000000027,0.9974254641230437,0.046556912926244844,-0.04958669894312247
74,135.5384601562169,0.25,30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9902643246640731,0.045523291477659544,-0.12765844929441472,3.0000000000000027,0.9981137838568251,0.04665626332214166,-0.033914664236705264
75,137.58854271945185,0.25,35.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9902643246640731,0.045523291477659544,-0.12765844929441472,3.0000000000000027,0.9985535142913785,0.04671973294333172,-0.01823292902384455
76,138.49850160231867,0.25,40.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9902643246640731,0.045523291477659544,-0.12765844929441472,3.0000000000000027,0.9987445235480658,0.046747302754773276,-0.002545584238907859
77,140.02911526433107,0.3,25.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9863085790287497,0.05852605998629157,-0.14964551385008026,3.000000000000002,0.9952217831522215,0.05981257018629872,-0.07167264506781804
78,145.3167101051944,0.3,30.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9863085790287497,0.05852605998629157,-0.14964551385008026,3.0000000000000027,0.9962611868548179,0.059962595188171375,-0.056003037644667956
79,149.61510984444033,0.3,35.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9863085790287497,0.05852605998629157,-0.14964551385008026,3.0000000000000027,0.9970520034596998,0.06007673973309843,-0.04031794060662786
80,152.71101205023274,0.3,40.0,90.0,upper,3.0,1.0,0.0,0.0,3.000000000000001,0.9998797196084066,0.013916922892227901,-0.0032946179912229073,3.0000000000000018,0.9863085790287497,0.05852605998629157,-0.14964551385008026,3.0000000000000027,0.9975940061145909,0.06015497107777414,-0.02462144550192549
