A_scale,ReA_nm,ReC_nm,best_CR,best_A_base_deg,best_A_kind
0.05,7.75,-100.0,33.77329243579122,90.0,upper
0.05,7.75,-95.0,35.99002967326314,90.0,upper
0.05,7.75,-90.0,38.39734947362454,90.0,upper
0.05,7.75,-85.0,41.010761679440755,90.0,upper
0.05,7.75,-80.0,43.84569854345065,90.0,upper
0.05,7.75,-75.0,46.916841275312315,90.0,upper
0.05,7.75,-70.0,50.237161294078426,90.0,upper
0.05,7.75,-65.0,53.8165994794776,90.0,upper
0.05,7.75,-60.0,57.66030328274779,90.0,upper
0.05,7.75,-55.0,61.76635109269895,90.0,upper
0.05,7.75,-50.0,66.12292592111329,90.0,upper
0.05,7.75,-45.0,70.70496977635939,90.0,upper
0.05,7.75,-40.0,75.47047108041004,90.0,upper
0.05,7.75,-35.0,80.35672155237668,90.0,upper
0.05,7.75,-30.0,85.27712361433233,90.0,upper
0.05,7.75,-25.0,90.11940250995535,90.0,upper
0.05,7.75,-20.0,94.74630040975302,90.0,upper
0.05,7.75,-15.0,98.99987126821893,90.0,upper
0.05,7.75,-10.0,102.71019422802449,90.0,upper
0.05,7.75,-5.0,105.70856155033793,90.0,upper
0.05,7.75,0.0,107.84401139922952,90.0,upper
0.05,7.75,5.0,108.88042394310213,90.0,upper
0.05,7.75,10.0,109.19320923097288,90.0,upper
0.05,7.75,15.0,108.76972861321003,90.0,upper
0.05,7.75,20.0,107.62702354766567,90.0,upper
0.05,7.75,25.0,105.81012884237651,90.0,upper
0.05,7.75,30.0,103.38774901756763,90.0,upper
0.05,7.75,35.0,100.44604830516465,90.0,upper
0.05,7.75,40.0,97.08154904319696,90.0,upper
0.05,7.75,45.0,93.39413613608438,90.0,upper
0.05,7.75,50.0,89.48096745844418,90.0,upper
0.05,7.75,55.0,85.43178242427392,90.0,upper
0.05,7.75,60.0,81.32578171807398,90.0,upper
0.05,7.75,65.0,77.229992783539,90.0,upper
0.05,7.75,70.0,73.19887142906501,90.0,upper
0.05,7.75,75.0,69.27481892332236,90.0,upper
0.05,7.75,80.0,65.4892947945129,90.0,upper
0.05,7.75,85.0,61.86425028450094,90.0,upper
0.05,7.75,90.0,58.41367113716877,90.0,upper
0.05,7.75,95.0,55.14508348059533,90.0,upper
0.05,7.75,100.0,52.06093298267755,90.0,upper
0.05,7.75,105.0,49.159791204022056,90.0,upper
0.05,7.75,110.0,46.43737397461827,90.0,upper
0.05,7.75,115.0,43.887376507884696,90.0,upper
0.05,7.75,120.0,41.50214136217814,90.0,upper
0.05,7.75,125.0,39.273180739597855,90.0,upper
0.05,7.75,130.0,37.191576049003814,90.0,upper
0.05,7.75,135.0,35.248276730543644,90.0,upper
0.05,7.75,140.0,33.43431815327087,90.0,upper
0.05,7.75,145.0,31.74097568739494,90.0,upper
0.05,7.75,150.0,30.159869267465783,90.0,upper
0.05,7.75,155.0,28.683030154241695,90.0,upper
0.05,7.75,160.0,27.302939293119458,90.0,upper
0.05,7.75,165.0,26.01254469721508,90.0,upper
0.05,7.75,170.0,24.80526364828238,90.0,upper
0.05,7.75,175.0,23.67497417917161,90.0,upper
0.05,7.75,180.0,22.61599923763152,90.0,upper
0.05,7.75,185.0,21.62308609094955,90.0,upper
0.05,7.75,190.0,20.69138287450108,90.0,upper
0.05,7.75,195.0,19.816413679442032,90.0,upper
0.05,7.75,200.0,18.994053185366475,90.0,upper
0.05,7.75,205.0,18.22050154768254,90.0,upper
0.05,7.75,210.0,17.492260026292055,90.0,upper
0.05,7.75,215.0,16.80610767547841,90.0,upper
0.05,7.75,220.0,16.159079291687974,90.0,upper
0.05,7.75,225.0,15.548444725892375,90.0,upper
0.05,7.75,230.0,14.971689602455477,90.0,upper
0.05,7.75,235.0,14.426497440707424,90.0,upper
0.05,7.75,240.0,13.910733143979622,90.0,upper
0.05,7.75,245.0,13.422427800019813,90.0,upper
0.05,7.75,250.0,12.95976472369574,90.0,upper
0.05,7.75,255.0,12.521066665589865,90.0,upper
0.05,7.75,260.0,12.104784106885146,90.0,upper
0.05,7.75,265.0,11.709484560638778,90.0,upper
0.05,7.75,270.0,11.33384280123926,90.0,upper
0.05,7.75,275.0,10.976631946872182,90.0,upper
0.05,7.75,280.0,10.636715323693219,90.0,upper
0.1,15.5,-280.0,6.797918977318343,90.0,upper
0.1,15.5,-275.0,6.994360526632786,90.0,upper
0.1,15.5,-270.0,7.200556235451993,90.0,upper
0.1,15.5,-265.0,7.4171374362860005,90.0,upper
0.1,15.5,-260.0,7.644786292281715,90.0,upper
0.1,15.5,-255.0,7.884240634725264,90.0,upper
0.1,15.5,-250.0,8.136299326281254,90.0,upper
0.1,15.5,-245.0,8.40182821310078,90.0,upper
0.1,15.5,-240.0,8.681766736996064,90.0,upper
0.1,15.5,-235.0,8.977135287977536,90.0,upper
0.1,15.5,-230.0,9.289043387694122,90.0,upper
0.1,15.5,-225.0,9.618698805825655,90.0,upper
0.1,15.5,-220.0,9.96741772436385,90.0,upper
0.1,15.5,-215.0,10.336636079091535,90.0,upper
0.1,15.5,-210.0,10.72792222351546,90.0,upper
0.1,15.5,-205.0,11.142991078075166,90.0,upper
0.1,15.5,-200.0,11.58371994662734,90.0,upper
0.1,15.5,-195.0,12.052166202883171,90.0,upper
0.1,15.5,-190.0,12.55058707139998,90.0,upper
0.1,15.5,-185.0,13.081461750423488,90.0,upper
0.1,15.5,-180.0,13.647516146550538,90.0,upper
0.1,15.5,-175.0,14.251750512579196,90.0,upper
0.1,15.5,-170.0,14.897470298120801,90.0,upper
0.1,15.5,-165.0,15.588320534719603,90.0,upper
0.1,15.5,-160.0,16.32832407919646,90.0,upper
0.1,15.5,-155.0,17.121924024696728,90.0,upper
0.1,15.5,-150.0,17.974030549905784,90.0,upper
0.1,15.5,-145.0,18.890072400966066,90.0,upper
0.1,15.5,-140.0,19.876053070756644,90.0,upper
0.1,15.5,-135.0,20.938611532638333,90.0,upper
0.1,15.5,-130.0,22.085087067669658,90.0,upper
0.1,15.5,-125.0,23.323587250531926,90.0,upper
0.1,15.5,-120.0,24.66305746850942,90.0,upper
0.1,15.5,-115.0,26.113349357000825,90.0,upper
0.1,15.5,-110.0,27.68528413389883,90.0,upper
0.1,15.5,-105.0,29.390704859320532,90.0,upper
0.1,15.5,-100.0,31.242508951541506,90.0,upper
0.1,15.5,-95.0,33.25464862470957,90.0,upper
0.1,15.5,-90.0,35.44208200637083,90.0,upper
0.1,15.5,-85.0,37.82065124322933,90.0,upper
0.1,15.5,-80.0,40.40685562653348,90.0,upper
0.1,15.5,-75.0,43.217477481218765,90.0,upper
0.1,15.5,-70.0,46.269006350856245,90.0,upper
0.1,15.5,-65.0,49.576793514179855,90.0,upper
0.1,15.5,-60.0,53.153855745595806,90.0,upper
0.1,15.5,-55.0,57.00923783774683,90.0,upper
0.1,15.5,-50.0,61.14584369697271,90.0,upper
0.1,15.5,-45.0,65.55766534776743,90.0,upper
0.1,15.5,-40.0,70.22639170913217,90.0,upper
0.1,15.5,-35.0,75.11748186849785,90.0,upper
0.1,15.5,-30.0,80.17595807732118,90.0,upper
0.1,15.5,-25.0,85.32242033798106,90.0,upper
0.1,15.5,-20.0,90.4500913373176,90.0,upper
0.1,15.5,-15.0,95.42400623965035,90.0,upper
0.1,15.5,-10.0,100.08364220777904,90.0,upper
0.1,15.5,-5.0,104.25015644003433,90.0,upper
0.1,15.5,0.0,107.73878738165303,90.0,upper
0.1,15.5,5.0,110.00490327119273,90.0,upper
0.1,15.5,10.0,111.59171472974312,90.0,upper
0.1,15.5,15.0,112.43598184040945,90.0,upper
0.1,15.5,20.0,112.50292374495571,90.0,upper
0.1,15.5,25.0,111.78972370922399,90.0,upper
0.1,15.5,30.0,110.32581876023056,90.0,upper
0.1,15.5,35.0,108.16991963046574,90.0,upper
0.1,15.5,40.0,105.40430984187277,90.0,upper
0.1,15.5,45.0,102.12741846079729,90.0,upper
0.1,15.5,50.0,98.44583990414058,90.0,upper
0.1,15.5,55.0,94.46687670115611,90.0,upper
0.1,15.5,60.0,90.29238504864382,90.0,upper
0.1,15.5,65.0,86.01432666317564,90.0,upper
0.1,15.5,70.0,81.71208208448986,90.0,upper
0.1,15.5,75.0,77.45132711927089,90.0,upper
0.1,15.5,80.0,73.28413546168412,90.0,upper
0.1,15.5,85.0,69.24993196612184,90.0,upper
0.1,15.5,90.0,65.37695136224677,90.0,upper
0.1,15.5,95.0,61.683923704836495,90.0,upper
0.1,15.5,100.0,58.18178483249218,90.0,upper
0.1,15.5,105.0,54.87528136091762,90.0,upper
0.1,15.5,110.0,51.764397441853525,90.0,upper
0.1,15.5,115.0,48.84557273005197,90.0,upper
0.1,15.5,120.0,46.112709111057896,90.0,upper
0.1,15.5,125.0,43.557980575911266,90.0,upper
0.1,15.5,130.0,41.1724692501657,90.0,upper
0.1,15.5,135.0,38.9466536931728,90.0,upper
0.1,15.5,140.0,36.87077529200128,90.0,upper
0.1,15.5,145.0,34.93510640259409,90.0,upper
0.1,15.5,150.0,33.130140857440814,90.0,upper
0.1,15.5,155.0,31.446724200332046,90.0,upper
0.1,15.5,160.0,29.87613788988173,90.0,upper
0.1,15.5,165.0,28.41014891919463,90.0,upper
0.1,15.5,170.0,27.0410339008462,90.0,upper
0.1,15.5,175.0,25.76158466941425,90.0,upper
0.1,15.5,180.0,24.565100827993685,90.0,upper
0.1,15.5,185.0,23.44537336434991,90.0,upper
0.1,15.5,190.0,22.396662436159513,90.0,upper
0.1,15.5,195.0,21.413671624635295,90.0,upper
0.1,15.5,200.0,20.49152033827189,90.0,upper
0.1,15.5,205.0,19.62571557620232,90.0,upper
0.1,15.5,210.0,18.81212390270656,90.0,upper
